------------------------------
Group: RemoteUnit 'Full Model'
------------------------------
'<output>'                     wrt '<variable>'                   | calc mag.  | check mag. | a(cal-chk) | r(cal-chk)
'P_prop.P_prop'                wrt 'params.Spacer4_3'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.Spacer4_4'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.Spacer5_1'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.Spacer5_2'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.Spacer5_3'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.Spacer5_4'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.alp_r'                 | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.phi'                   | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'bat_lwr.KS'                   wrt 'params.Box:outer'             | 7.3511e+02 | 7.3510e+02 | 6.0201e-03 | 8.1895e-06
'bat_lwr.KS'                   wrt 'params.Hinge_inner_1'         | 4.6830e+02 | 4.6827e+02 | 2.5968e-02 | 5.5455e-05
'bat_lwr.KS'                   wrt 'params.Hinge_inner_2'         | 4.7457e+02 | 4.7454e+02 | 2.6710e-02 | 5.6286e-05
'bat_lwr.KS'                   wrt 'params.Hinge_outer_1'         | 3.2770e+01 | 3.2769e+01 | 1.8858e-03 | 5.7549e-05
'bat_lwr.KS'                   wrt 'params.Hinge_outer_2'         | 3.2814e+01 | 3.2813e+01 | 1.7149e-03 | 5.2265e-05
'bat_lwr.KS'                   wrt 'params.Panel_inner: back'     | 3.6511e+01 | 3.6512e+01 | 1.0497e-03 | 2.8749e-05
'bat_lwr.KS'                   wrt 'params.Panel_outer:back'      | 1.4969e+01 | 1.4968e+01 | 1.5669e-03 | 1.0468e-04
'bat_lwr.KS'                   wrt 'params.QI'                    | 1.0739e+03 | 1.0739e+03 | 1.4089e-02 | 1.3120e-05
'bat_lwr.KS'                   wrt 'params.Spacer1_1'             | 3.0797e-01 | 3.0370e-01 | 4.2733e-03 | 1.4071e-02
'bat_lwr.KS'                   wrt 'params.Spacer1_2'             | 3.0602e-01 | 3.0617e-01 | 1.4631e-04 | 4.7788e-04
'bat_lwr.KS'                   wrt 'params.Spacer1_3'             | 3.0265e-01 | 3.0350e-01 | 8.5583e-04 | 2.8198e-03
'bat_lwr.KS'                   wrt 'params.Spacer1_4'             | 2.9812e-01 | 2.9525e-01 | 2.8719e-03 | 9.7273e-03
'bat_lwr.KS'                   wrt 'params.Spacer2_1'             | 2.7054e-04 | 2.1548e-03 | 1.8842e-03 | 8.7445e-01
'bat_lwr.KS'                   wrt 'params.Spacer2_2'             | 2.6215e-04 | 2.6935e-03 | 2.4313e-03 | 9.0267e-01
'bat_lwr.KS'                   wrt 'params.Spacer2_3'             | 2.5826e-04 | 1.0654e-03 | 1.3236e-03 | 1.2424e+00
'bat_lwr.KS'                   wrt 'params.Spacer2_4'             | 2.6571e-04 | 7.0281e-04 | 4.3711e-04 | 6.2194e-01
